,mcc-name
1,742-Veterinary Services
2,763-Agricultural Co-operatives
3,"780-Horticultural Services, Landscaping Services"
4,1520-General Contractors-Residential and Commercial
5,"1711-Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation"
6,1731-Electrical Contractors
7,"1740-Insulation – Contractors Masonry, Stonework Contractor, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors"
8,1750-Carpentry Contractors
9,"1761-Roofing - Contractors, Sheet Metal Work - Contractors, Siding - Contractors"
10,1771-Contractors – Concrete Work
11,"1799-Contractors – Special Trade, Not Elsewhere Classified"
12,2741-Miscellaneous Publishing and Printing
13,"2791-Typesetting, Plate Making, & Related Services"
14,"2842-Specialty Cleaning, Polishing, and Sanitation Preparations"
15,4011-Railroads
16,"4111-Local/Suburban Commuter Passenger Transportation – Railroad, feries and local water transportation"
17,4112-Passenger Railways
18,4119-Ambulance Services
19,4121-Taxicabs and Limousines
20,"4131-Bus Lines, Including Charters, Tour Buses"
21,"4214-Delivery Services – Local, Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance"
22,"4215-Courier Services – Air or Ground, Fright Forwarders"
23,"4225-Storage Warehousing, Public"
24,"4411-Cruise Lines, Steamship Lines"
25,4457-Boat Rentals and Leases
26,"4468-Marinas, Marine Service, and Supplies"
27,"4511-Airlines, Air Carriers ( not listed elsewhere)"
28,"4582-Airports, Airport Terminals, Flying Fields"
29,4722-Travel Agencies and Tour Operations
30,4784-Toll and Bridge Fees
31,"4789-Transportation Services, Not elsewhere classified)"
32,4812-Telecommunications Equipment including telephone sales
33,"4814-Fax services, Telecommunication service including local and long distance calls, credit card calls, calls through use of magnetic-strip reading, telephones and fax services"
34,4816-Computer Network Services
35,4821-Telegraph services
36,4829-Money Orders – Wire Transfer
37,4899-Cable and other pay television (previously Cable Services)
38,5013-Motor vehicle supplies and new parts
39,5021-Office and Commercial Furniture
40,"5039-Construction Materials, Not Elsewhere Classified"
41,"5044-Office, Photographic, Photocopy, and Microfilm Equipment"
42,"5045-Computers, Computer Peripheral Equipment, Software"
43,"5046-Commercial Equipment, Not Elsewhere Classified"
44,"5047-Medical, Dental Ophthalmic, Hospital Equipment and Supplies"
45,5051-Metal Service Centers and Offices
46,5065-Electrical Parts and Equipment
47,5072-Hardware Equipment and Supplies
48,5074-Plumbing and Heating Equipment and Supplies
